Binary,Flags,N,M,T,Iterations,Section,Cycles,Performance
no_opt,-O3,20,10,2100,50,forward_vars,74613483,17131.890224183746
no_opt,-O3,20,10,2100,50,backward_vars,74606532,16826.676784815572
no_opt,-O3,20,10,2100,50,update_initial,4742146,177.134993313154
no_opt,-O3,20,10,2100,50,update_transition,119501014,24180.547957526116
no_opt,-O3,20,10,2100,50,update_emission,56317241,11634.092657344489
no_opt,-O3,20,20,2100,50,baum_welch,380075131,17663.58662387727
no_opt,-O3,20,20,2100,50,forward_vars,72139111,17719.514175881654
no_opt,-O3,20,20,2100,50,backward_vars,70881969,17710.85111927407
no_opt,-O3,20,20,2100,50,update_initial,5181930,162.10176517243576
no_opt,-O3,20,20,2100,50,update_transition,107064588,26989.316019223836
no_opt,-O3,20,20,2100,50,update_emission,99306372,12984.06108321025
no_opt,-O3,20,30,2100,50,baum_welch,424693003,17301.179788921552
no_opt,-O3,20,30,2100,50,forward_vars,71682913,17832.283127221686
no_opt,-O3,20,30,2100,50,backward_vars,71327022,17600.342265796546
no_opt,-O3,20,30,2100,50,update_initial,4947735,169.77465446310282
no_opt,-O3,20,30,2100,50,update_transition,107257202,26940.848223879642
no_opt,-O3,20,30,2100,50,update_emission,145917375,13182.802938992016
no_opt,-O3,20,40,2100,50,baum_welch,465480997,17147.617306491247
no_opt,-O3,20,40,2100,50,forward_vars,71126977,17971.662144449074
no_opt,-O3,20,40,2100,50,backward_vars,71029753,17674.002048127633
no_opt,-O3,20,40,2100,50,update_initial,5159117,162.81855984270177
no_opt,-O3,20,40,2100,50,update_transition,105741527,27327.01221536171
no_opt,-O3,20,40,2100,50,update_emission,186645394,13704.061724662759
no_opt,-O3,20,50,2100,50,baum_welch,518066497,16631.243382642442
no_opt,-O3,20,50,2100,50,forward_vars,70599174,18106.019200734558
no_opt,-O3,20,50,2100,50,backward_vars,69698337,18011.620564203706
no_opt,-O3,20,50,2100,50,update_initial,4866660,172.60297616846051
no_opt,-O3,20,50,2100,50,update_transition,108698703,26583.573862882247
no_opt,-O3,20,50,2100,50,update_emission,240035401,13298.038483915128
no_opt,-O3,20,60,2100,50,baum_welch,553547268,16710.930637273057
no_opt,-O3,20,60,2100,50,forward_vars,70520545,18126.207050725432
no_opt,-O3,20,60,2100,50,backward_vars,69203385,18140.442118546656
no_opt,-O3,20,60,2100,50,update_initial,4774765,175.9248884500075
no_opt,-O3,20,60,2100,50,update_transition,104578571,27630.899641954373
no_opt,-O3,20,60,2100,50,update_emission,280665894,13632.57909776526
no_opt,-O3,20,70,2100,50,baum_welch,599573450,16485.870079804234
no_opt,-O3,20,70,2100,50,forward_vars,71434577,17894.27548510576
no_opt,-O3,20,70,2100,50,backward_vars,70108975,17906.124001955526
no_opt,-O3,20,70,2100,50,update_initial,4819809,174.2807650676614
