Binary,Flags,N,M,T,Iterations,Section,Cycles,Performance
no_opt,O0,15,100,2100,50,backward_vars,41205174,17231.088503594234
no_opt,O0,15,100,2100,50,update_initial,4898104,128.62119709993908
no_opt,O0,15,100,2100,50,update_transition,61873869,26269.57108500844
no_opt,O0,15,100,2100,50,update_emission,353839922,13487.031008332633
no_opt,O0,20,10,2100,50,baum_welch,401899092,15126.408894698374
no_opt,O0,20,10,2100,50,forward_vars,80433738,15892.211797989545
no_opt,O0,20,10,2100,50,backward_vars,84332829,14886.017875672118
no_opt,O0,20,10,2100,50,update_initial,5022782,167.23799679141956
no_opt,O0,20,10,2100,50,update_transition,141390697,20436.988156299987
no_opt,O0,20,10,2100,50,update_emission,65901123,9942.167449862729
no_opt,O0,20,20,2100,50,baum_welch,373171212,17990.37488454495
no_opt,O0,20,20,2100,50,forward_vars,70734328,18071.423538511597
no_opt,O0,20,20,2100,50,backward_vars,69672648,18018.2616282935
no_opt,O0,20,20,2100,50,update_initial,5011648,167.6095368230171
no_opt,O0,20,20,2100,50,update_transition,105483658,27393.816774916926
no_opt,O0,20,20,2100,50,update_emission,97786716,13185.840088954414
no_opt,O0,20,30,2100,50,baum_welch,414798154,17713.892719011474
no_opt,O0,20,30,2100,50,forward_vars,70531919,18123.28401273188
no_opt,O0,20,30,2100,50,backward_vars,69500622,18062.8599266349
no_opt,O0,20,30,2100,50,update_initial,4783553,175.60169188049133
no_opt,O0,20,30,2100,50,update_transition,104860405,27556.635891307116
no_opt,O0,20,30,2100,50,update_emission,141616773,13583.13679411407
no_opt,O0,20,40,2100,50,baum_welch,458822531,17396.464778230344
no_opt,O0,20,40,2100,50,forward_vars,70593485,18107.4783317469
no_opt,O0,20,40,2100,50,backward_vars,69298969,18115.421024517695
no_opt,O0,20,40,2100,50,update_initial,4930033,170.38425503439834
no_opt,O0,20,40,2100,50,update_transition,104926335,27539.32080063599
no_opt,O0,20,40,2100,50,update_emission,185744322,13770.542068036944
no_opt,O0,20,50,2100,50,baum_welch,505253818,17052.99335313484
no_opt,O0,20,50,2100,50,forward_vars,70939224,18019.227275449193
no_opt,O0,20,50,2100,50,backward_vars,69034657,18184.77927687828
no_opt,O0,20,50,2100,50,update_initial,4918557,170.7817963683251
no_opt,O0,20,50,2100,50,update_transition,104967718,27528.46356057774
no_opt,O0,20,50,2100,50,update_emission,231214868,13805.340580433607
no_opt,O0,20,60,2100,50,baum_welch,552223626,16750.985587132414
no_opt,O0,20,60,2100,50,forward_vars,71006106,18002.25462300383
no_opt,O0,20,60,2100,50,backward_vars,69785555,17989.109637374095
no_opt,O0,20,60,2100,50,update_initial,5118528,164.10968153344086
no_opt,O0,20,60,2100,50,update_transition,105557584,27374.63184075907
no_opt,O0,20,60,2100,50,update_emission,275357981,13895.366265051167
no_opt,O0,20,70,2100,50,baum_welch,603322238,16383.433888939462
no_opt,O0,20,70,2100,50,forward_vars,72062499,17738.35237104392
no_opt,O0,20,70,2100,50,backward_vars,70163254,17892.271644071698
no_opt,O0,20,70,2100,50,update_initial,4863919,172.70024439140536
no_opt,O0,20,70,2100,50,update_transition,106550638,27119.499744337525
no_opt,O0,20,70,2100,50,update_emission,325823427,13689.623367689886
no_opt,O0,20,80,2100,50,baum_welch,656293529,16027.416902963247
no_opt,O0,20,80,2100,50,forward_vars,72002539,17753.12395580939
no_opt,O0,20,80,2100,50,backward_vars,71265014,17615.656400488464
no_opt,O0,20,80,2100,50,update_initial,4937211,170.13654065017678
no_opt,O0,20,80,2100,50,update_transition,108234890,26697.49098465384
no_opt,O0,20,80,2100,50,update_emission,374863122,13590.560663366614
no_opt,O0,20,90,2100,50,baum_welch,711337006,15678.770970619235
no_opt,O0,20,90,2100,50,forward_vars,73696279,17345.10910652626
no_opt,O0,20,90,2100,50,backward_vars,72529462,17308.55248864248
no_opt,O0,20,90,2100,50,update_initial,5116102,164.18750056195125
no_opt,O0,20,90,2100,50,update_transition,110711736,26100.213982734404
no_opt,O0,20,90,2100,50,update_emission,423639103,13522.83101213157
no_opt,O0,20,100,2100,50,baum_welch,733696430,16065.350079459975
no_opt,O0,20,100,2100,50,forward_vars,72091251,17731.277821770633
no_opt,O0,20,100,2100,50,backward_vars,69778936,17990.81602505375
no_opt,O0,20,100,2100,50,update_initial,4783059,175.6198282312637
no_opt,O0,20,100,2100,50,update_transition,106106522,27233.01023852238
no_opt,O0,20,100,2100,50,update_emission,457269381,13915.211173957874
