Binary,Compiler,Flags,N,M,T,Iterations,Section,Cycles,Performance,Variable
no_opt,g++,Ofast,256,128,4096,50,update_emission,28530373537,0.033004168234209964,1
no_opt,g++,Ofast,256,256,4096,50,baum_welch,385008127077,0.4501215672606844,1
no_opt,g++,Ofast,256,256,4096,50,forward_vars,108236327410,0.36555308143561854,1
no_opt,g++,Ofast,256,256,4096,50,backward_vars,102142359012,0.38682670576815326,1
no_opt,g++,Ofast,256,256,4096,50,update_initial,120833618,3.389785117582095e-05,1
no_opt,g++,Ofast,256,256,4096,50,update_transition,117392899975,0.7866046147907166,1
no_opt,g++,Ofast,256,256,4096,50,update_emission,56535875950,0.03327348011134866,1
no_opt,g++,Ofast,256,512,4096,50,baum_welch,454525684985,0.3854116841950993,1
no_opt,g++,Ofast,256,512,4096,50,forward_vars,110242109343,0.35890208599779766,1
no_opt,g++,Ofast,256,512,4096,50,backward_vars,103154338298,0.3830318036829098,1
no_opt,g++,Ofast,256,512,4096,50,update_initial,102601618,3.992139773078432e-05,1
no_opt,g++,Ofast,256,512,4096,50,update_transition,127755977300,0.722798250348479,1
no_opt,g++,Ofast,256,512,4096,50,update_emission,112672347373,0.03337281616714649,1
no_opt,g++,Ofast,256,1024,4096,50,baum_welch,593012988141,0.3017431485015877,1
no_opt,g++,Ofast,256,1024,4096,50,forward_vars,114809870667,0.34462300826694126,1
no_opt,g++,Ofast,256,1024,4096,50,backward_vars,105332039056,0.37511276350582834,1
no_opt,g++,Ofast,256,1024,4096,50,update_initial,96529277,4.243272225068048e-05,1
no_opt,g++,Ofast,256,1024,4096,50,update_transition,144183699122,0.6404454693998776,1
no_opt,g++,Ofast,256,1024,4096,50,update_emission,227977282700,0.03297824165179419,1
no_opt,g++,Ofast,256,256,2048,50,baum_welch,190188360506,0.4556021754089751,2
no_opt,g++,Ofast,256,256,2048,50,forward_vars,54433900667,0.3634327369817405,2
no_opt,g++,Ofast,256,256,2048,50,backward_vars,51631964302,0.3826253057591836,2
no_opt,g++,Ofast,256,256,2048,50,update_initial,48797355,4.196948789539925e-05,2
no_opt,g++,Ofast,256,256,2048,50,update_transition,55424669344,0.8330387709746118,2
no_opt,g++,Ofast,256,256,2048,50,update_emission,28355603297,0.03317061048387258,2
no_opt,g++,Ofast,256,256,4096,50,baum_welch,389816284129,0.44456957962959426,2
no_opt,g++,Ofast,256,256,4096,50,forward_vars,111030181297,0.3563546645228171,2
no_opt,g++,Ofast,256,256,4096,50,backward_vars,103916743423,0.38022161736888016,2
no_opt,g++,Ofast,256,256,4096,50,update_initial,95519461,4.288131399736437e-05,2
no_opt,g++,Ofast,256,256,4096,50,update_transition,117972042054,0.782743057221404,2
no_opt,g++,Ofast,256,256,4096,50,update_emission,56221462061,0.03345955930422028,2
no_opt,g++,Ofast,256,256,8192,50,baum_welch,752413347899,0.460652278569792,2
no_opt,g++,Ofast,256,256,8192,50,forward_vars,214181278109,0.36946387991824586,2
no_opt,g++,Ofast,256,256,8192,50,backward_vars,202926895795,0.3894150363972949,2
no_opt,g++,Ofast,256,256,8192,50,update_initial,213310906,3.840403734443845e-05,2
no_opt,g++,Ofast,256,256,8192,50,update_transition,221107995441,0.8352642036288579,2
no_opt,g++,Ofast,256,256,8192,50,update_emission,112847938789,0.03333947193341855,2
no_opt,g++,Ofast,256,256,16384,50,baum_welch,1471646835403,0.4710381795386198,2
no_opt,g++,Ofast,256,256,16384,50,forward_vars,409763283232,0.3862339514260328,2
no_opt,g++,Ofast,256,256,16384,50,backward_vars,395682197387,0.399425523987935,2
no_opt,g++,Ofast,256,256,16384,50,update_initial,387648685,4.2265073077701784e-05,2
no_opt,g++,Ofast,256,256,16384,50,update_transition,439277540830,0.8408515189692904,2
no_opt,g++,Ofast,256,256,16384,50,update_emission,224284782051,0.03354922838362252,2
no_opt,g++,Ofast,256,256,32768,50,baum_welch,2970841893938,0.466670304930382,2
no_opt,g++,Ofast,256,256,32768,50,forward_vars,831246211048,0.38078848343252436,2
no_opt,g++,Ofast,256,256,32768,50,backward_vars,797368748042,0.3964177663398346,2
no_opt,g++,Ofast,256,256,32768,50,update_initial,807047212,4.060233343572966e-05,2
no_opt,g++,Ofast,256,256,32768,50,update_transition,886718944162,0.8331099496358975,2
no_opt,g++,Ofast,256,256,32768,50,update_emission,450192750090,0.033428265446281524,2
no_opt,g++,Ofast,256,256,65536,50,baum_welch,6001175565182,0.46204403703425195,2
no_opt,g++,Ofast,256,256,65536,50,forward_vars,1687454462606,0.37515558621377226,2
no_opt,g++,Ofast,256,256,65536,50,backward_vars,1598602466209,0.3954593399290734,2
no_opt,g++,Ofast,256,256,65536,50,update_initial,1627434167,4.026952446304392e-05,2
no_opt,g++,Ofast,256,256,65536,50,update_transition,1807811403839,0.8172692940682326,2
no_opt,g++,Ofast,256,256,65536,50,update_emission,896818376385,0.0335612274419753,2
